CONM,TIC,CIK,SIC
COLLEGIUM PHARMACEUTICAL INC,COLL,0001267565,2834
ALIMERA SCIENCES INC,ALIM,0001267602,2834
PORTOLA PHARMACEUTICALS INC,PTLA,0001269021,2836
SINTX TECHNOLOGIES INC,SINT,0001269026,3842
INTERCEPT PHARMA INC,ICPT,0001270073,2836
INTERSECT ENT INC,XENT,0001271214,3842
VONAGE HOLDINGS CORP,VG,0001272830,4899
AIRGAIN INC,AIRG,0001272842,3663
APPLIED GENETIC TECHNOLOGIES,AGTC,0001273636,2836
INFOSONICS CORP -OLD,IFON.1,0001274032,
FIRST SOLAR INC,FSLR,0001274494,3674
MERRIMACK PHARMACEUTICALS,MACK,0001274792,2836
ULTRA CLEAN HOLDINGS INC,UCTT,0001275014,3674
NOODLES & CO,NDLS,0001275158,5812
ANGIODYNAMICS INC,ANGO,0001275187,3841
B&G FOODS INC,BGS,0001278027,2033
BLACKBAUD INC,BLKB,0001280058,7370
AMBARELLA INC,AMBA,0001280263,3674
MONOLITHIC POWER SYSTEMS INC,MPWR,0001280452,3674
ACCELERON PHARMA INC,XLRN,0001280600,2836
DOLPHIN ENTERTAINMENT INC,DLPN,0001282224,8700
WINDSTREAM HOLDINGS INC,WINMQ,0001282266,4813
NETLIST INC,NLST,0001282631,3674
NEWMARKET CORP,NEU,0001282637,2860
BATTALION OIL CORP,BATL,0001282648,1311
T-MOBILE US INC,TMUS,0001283699,4812
OMEROS CORP,OMER,0001285819,2836
REALPAGE INC,RP,0001286225,7372
LINCOLN EDUCATIONAL SERVICES,LINC,0001286613,8200
DOMINO'S PIZZA INC,DPZ,0001286681,5812
DOUGLAS DYNAMICS INC,PLOW,0001287213,3531
HILL INTERNATIONAL INC,HIL,0001287808,8741
OTELCO INC,OTEL,0001288359,4813
W&T OFFSHORE INC,WTI,0001288403,1311
MAXLINEAR INC,MXL,0001288469,3674
FIVE9 INC,FIVN,0001288847,7370
ENERSYS,ENS,0001289308,3690
MORNINGSTAR INC,MORN,0001289419,7370
TEXAS ROADHOUSE INC,TXRH,0001289460,5812
PROFIRE ENERGY INC,PFIE,0001289636,3533
MACQUARIE INFRASTRUCTURE CP,MIC,0001289790,4581
HURON CONSULTING GROUP INC,HURN,0001289848,8742
NEUROMETRIX INC,NURO,0001289850,3841
SPOK HOLDINGS INC,SPOK,0001289945,4812
TURNING POINT BRANDS INC,TPB,0001290677,2100
COMMERCIAL VEHICLE GROUP INC,CVGI,0001290900,3714
TECHTARGET INC,TTGT,0001293282,7370
OPGEN INC,OPGN,0001293818,2835
INOGEN INC,INGN,0001294133,3845
PRESTIGE CONSUMER HEALTHCARE,PBH,0001295947,5122
ZAGG INC,ZAGG,0001296205,3231
NEENAH INC,NP,0001296435,2621
AMPHASTAR PHARMACEUTICLS INC,AMPH,0001297184,2834
EXLSERVICE HOLDINGS INC,EXLS,0001297989,7374
PACIFIC BIOSCIENCES OF CALIF,PACB,0001299130,3826
TEARLAB CORP,TEAR,0001299139,3845
COMSTOCK HOLDING COS INC,CHCI,0001299969,1531
LAS VEGAS SANDS CORP,LVS,0001300514,7990
ATHENEX INC,ATNX,0001300699,2836
SHINECO INC,TYHT,0001300734,2834
ACHAOGEN INC,AKAOQ,0001301501,2836
BLUELINX HOLDINGS INC,BXC,0001301787,5031
MANITEX INTERNATIONAL INC,MNTX,0001302028,3537
ONCOMED PHARMACEUTICALS,OMED,0001302573,2836
LHC GROUP INC,LHCG,0001303313,8082
TABLEAU SOFTWARE INC,DATA,0001303652,7372
CONSOLIDATED COMM HLDGS INC,CNSL,0001304421,4813
ANTERIX INC,ATEX,0001304492,4899
ZOVIO INC,ZVO,0001305323,8200
CONFORMIS INC,CFMS,0001305773,3842
CELANESE CORP,CE,0001306830,2860
LIQTECH INTERNATIONAL INC,LIQT,0001307579,3714
DRYSHIPS INC,DRYS,0001308858,4412
CAMBER ENERGY INC,CEI,0001309082,1311
WEX INC,WEX,0001309108,7374
GREEN PLAINS INC,GPRE,0001309402,2860
SERVICESOURCE INTL INC,SREV,0001310114,7370
INTERMOLECULAR INC,IMI,0001311241,3674
CASTLE BRANDS INC,ROX,0001311538,2085
BRIGHTCOVE INC,BCOV,0001313275,7370
EYEPOINT PHARMACEUTICALS INC,EYPT,0001314102,2836
AMBER ROAD INC,AMBR,0001314223,7370
SONOS INC,SONO,0001314727,3651
GTT COMMUNICATIONS INC,GTT,0001315255,4899
KOPPERS HOLDINGS INC,KOP,0001315257,2860
AQUANTIA CORP,AQ,0001316016,3674
KANDI TECHNOLOGIES GROUP,KNDI,0001316517,3714
BUILDERS FIRSTSOURCE,BLDR,0001316835,2452
OMEGA FLEX INC,OFLX,0001317945,3490
ZUMIEZ INC,ZUMZ,0001318008,5651
CORE MARK HOLDING CO INC,CORE,0001318084,5190
WASTE CONNECTIONS INC,WCN,0001318220,4953
CITI TRENDS INC,CTRN,0001318484,5651
EVERI HOLDINGS INC,EVRI,0001318568,3578
TESLA INC,TSLA,0001318605,3711
CLEVELAND BIOLABS INC,CBLI,0001318641,2834
DESIGNER BRANDS INC,DBI,0001319947,5661
SELECT MEDICAL HOLDINGS CORP,SEM,0001320414,8060
TREEHOUSE FOODS INC,THS,0001320695,2030
FREIGHTCAR AMERICA INC,RAIL,0001320854,3743
KRATON CORP,KRA,0001321646,2821
PENUMBRA INC,PEN,0001321732,3841
EAGLE BULK SHIPPING INC,EGLE,0001322439,4412
ALBIREO PHARMA INC,ALBO,0001322505,2836
ATRICURE INC,ATRC,0001323885,3841
ORCHIDS PAPER PRODUCTS,TISUQ,0001324189,2670
RUTHS HOSPITALITY GROUP INC,RUTH,0001324272,5812
CF INDUSTRIES HOLDINGS INC,CF,0001324404,2870
EXPEDIA GROUP INC,EXPE,0001324424,4700
RBC BEARINGS INC,ROLL,0001324948,3562
IRADIMED CORP,IRMD,0001325618,3841
MAGNACHIP SEMICONDUCTOR CORP,MX,0001325702,3674
AVEO PHARMACEUTICALS INC,AVEO,0001325879,2836
NANTKWEST INC,NK,0001326110,2836
GENCO SHIPPING & TRADING,GNK,0001326200,4412
GAMESTOP CORP,GME,0001326380,5734
NANOVIBRONIX INC,NAOV,0001326706,3845
XENCOR INC,XNCR,0001326732,2836
FACEBOOK INC,FB,0001326801,7370
TRUECAR INC,TRUE,0001327318,7370
PALO ALTO NETWORKS INC,PANW,0001327567,7370
OOMA INC,OOMA,0001327688,4813
WORKDAY INC,WDAY,0001327811,7370
ADAMAS PHARMACEUTICALS INC,ADMS,0001328143,2834
BOISE CASCADE CO,BCC,0001328581,5031
LIQUIDIA TECHNOLOGIES,LQDA,0001330436,2836
BROOKDALE SENIOR LIVING INC,BKD,0001332349,8050
MERCER INTL INC,MERC,0001333274,2611
SEMILEDS CORP,LEDS,0001333822,3674
CASA SYSTEMS INC,CASA,0001333835,3576
CROCS INC,CROX,0001334036,3021
CODA OCTOPUS GROUP INC,CODA,0001334325,3812
CLEAR CHANNEL OUTDOOR HLDGS,CCO,0001334978,7310
LIVE NATION ENTERTAINMENT,LYV,0001335258,7900
LEIDOS HOLDINGS INC,LDOS,0001336920,7373
INFUSYSTEM HOLDINGS INC,INFU,0001337013,8090
FUTUREFUEL CORP,FF,0001337298,2860
AERIE PHARMACEUTICALS INC,AERI,0001337553,2836
POTLATCHDELTIC CORP,PCH,0001338749,2421
H&E EQUIPMENT SERVICES INC,HEES,0001339605,5084
VIACOM INC,VIAB,0001339947,4833
CARBONITE INC,CARB,0001340127,7370
CHEMOCENTRYX INC,CCXI,0001340652,2836
ORACLE CORP,ORCL,0001341439,7370
CELSIUS HOLDINGS INC,CELH,0001341766,2086
GENERAL FINANCE CORP/DE,GFN,0001342287,7359
LIMONEIRA CO,LMNR,0001342423,0100
DIGITAL ALLY INC,DGLY,0001342958,3651
YELP INC,YELP,0001345016,7370
XERIS PHARMATICALS INC,XERS,0001346302,2834
CARA THERAPEUTICS INC,CARA,0001346830,2836
CHAPARRAL ENERGY INC,CHAP,0001346980,1311
VANDA PHARMACEUTICALS INC,VNDA,0001347178,2836
22ND CENTURY GROUP INC,XXII,0001347858,2836
AVALARA INC,AVLR,0001348036,7370
KALVISTA PHARMACEUTICALS,KALV,0001348911,2836
SANDRIDGE ENERGY INC,SD,0001349436,1311
CANCER GENETICS INC,CGIX,0001349929,8071
MUELLER WATER PRODUCTS INC,MWA,0001350593,3490
ALPHATEC HOLDINGS INC,ATEC,0001350653,3842
GENESIS HEALTHCARE INC,GEN,0001351051,8051
ROSETTA STONE INC,RST,0001351285,7370
SHOTSPOTTER INC,SSTI,0001351636,7370
EPAM SYSTEMS INC,EPAM,0001352010,7370
SPLUNK INC,SPLK,0001353283,7372
TARONIS TECHNOLOGIES,TRNX,0001353487,2810
CHINA XD PLASTICS CO LTD,CXDC,0001353970,2821
PGT INNOVATIONS INC,PGTI,0001354327,3442
QURATE RETAIL INC,QRTEA,0001355096,5961
INSTRUCTURE INC,INST,0001355754,7370
GENIUS BRANDS INTL INC,GNUS,0001355848,7812
PRECIGEN INC,PGEN,0001356090,2836
CREATIVE REALITIES INC,CREX,0001356093,7372
MELLANOX TECHNOLOGIES LTD,MLNX,0001356104,3674
SUPERNUS PHARMACEUTICALS INC,SUPN,0001356576,2834
HOUSTON WIRE & CABLE CO,HWCC,0001356949,5063
DUNKIN' BRANDS GROUP INC,DNKN,0001357204,5812
SENECA BIOPHARMA INC,SNCA,0001357459,2836
KBR INC,KBR,0001357615,1623
ENERGY SERVICES OF AMERICA,ESOA,0001357971,1623
IT TECH PACKAGING INC,ITP,0001358190,2621
REATA PHARMACEUTICALS INC,RETA,0001358762,2836
HARROW HEALTH INC,HROW,0001360214,2834
VITAMIN SHOPPE INC,VSI,0001360530,5400
OSIRIS THERAPEUTICS INC,OSIR,0001360886,2836
VARONIS SYSTEMS INC,VRNS,0001361113,7372
PRIMORIS SERVICES CORP,PRIM,0001361538,1623
ORBCOMM INC,ORBC,0001361983,4899
ICF INTERNATIONAL INC,ICFI,0001362004,8742
AUDIOEYE INC,AEYE,0001362190,7370
ALLEGIANT TRAVEL CO,ALGT,0001362468,4512
AIRCASTLE LTD,AYR,0001362988,7359
INNOPHOS HOLDINGS INC,IPHS,0001364099,2810
HERC HOLDINGS INC,HRI,0001364479,7350
SPIRIT AEROSYSTEMS HOLDINGS,SPR,0001364885,3728
CHEGG INC,CHGG,0001364954,7370
LEAF GROUP LTD,LEAF,0001365038,7370
PRIMO WATER CORP -OLD,PRMW.1,0001365101,2086
AMYRIS INC,AMRS,0001365916,2860
GLU MOBILE INC,GLUU,0001366246,7372
FINJAN HOLDINGS INC,FNJN,0001366340,7372
GLOBALSTAR INC,GSAT,0001366868,4899
SONOMA PHARMACEUTICALS INC,SNOA,0001367083,2834
EMERGENT BIOSOLUTIONS INC,EBS,0001367644,2836
CONCERT PHARMACEUTICLS INC,CNCE,0001367920,2836
ATHERSYS INC,ATHX,0001368148,2836
CLEAN ENERGY FUELS CORP,CLNE,0001368265,5500
HIGHPOWER INTERNATIONAL INC,HPJ,0001368308,3690
REMARK HOLDINGS INC,MARK,0001368365,7370
SALLY BEAUTY HOLDINGS INC,SBH,0001368458,5990
ADMA BIOLOGICS INC,ADMA,0001368514,2836
AEROVIRONMENT INC,AVAV,0001368622,3721
MYOMO INC,MYO,0001369290,3845
CATALYST PHARMACEUTICALS INC,CPRX,0001369568,2834
CHINA BIOLOGIC PRODUCTS HLDG,CBPO,0001369868,2836
ANAPTYSBIO INC,ANAB,0001370053,2836
WILLDAN GROUP INC,WLDN,0001370450,8711
ETSY INC,ETSY,0001370637,7370
QUANTENNA COMMUNICATIONS INC,QTNA,0001370702,3674
FIREEYE INC,FEYE,0001370880,7373
OWENS CORNING,OC,0001370946,3290
RESHAPE LIFESCIENCES INC,RSLS,0001371217,3845
INFORMATION SERVICES GROUP,III,0001371489,7374
GREAT LAKES DREDGE & DOCK CP,GLDD,0001372020,1600
MONAKER GROUP INC,MKGI,0001372183,4700
AEROHIVE NETWORKS INC,HIVE,0001372414,3576
EYEGATE PHARMACEUTICALS INC,EYEG,0001372514,2834
BOX INC,BOX,0001372612,7370
GREEN BRICK PARTNERS INC,GRBK,0001373670,1531
TETRAPHASE PHARMACEUTICALS,TTPH,0001373707,2836
SERVICENOW INC,NOW,0001373715,7372
ALTRA INDUSTRIAL MOTION CORP,AIMC,0001374535,3560
ZOGENIX INC,ZGNX,0001375151,2834
UR ENERGY INC,URG,0001375205,1090
SUPER MICRO COMPUTER INC,SMCI,0001375365,3570
TELARIA INC,TLRA,0001375796,7370
CVR ENERGY INC,CVI,0001376139,2911
CHINANET ONLINE HOLDINGS,CNET,0001376321,7310
MIMEDX GROUP INC,MDXG,0001376339,2836
PROTAGONIST THERAPEUTICS INC,PTGX,0001377121,2836
NATIONAL CINEMEDIA INC,NCMI,0001377630,7310
AVIAT NETWORKS INC,AVNW,0001377789,3663
OCEAN POWER TECHNOLOGIES INC,OPTT,0001378140,3612
TRAVELCENTERS OF AMERICA INC,TA,0001378453,5500
BRIDGELINE DIGITAL INC,BLIN,0001378590,7370
CELLULAR BIOMEDICINE GROUP,CBMG,0001378624,2836
WESCO AIRCRAFT HOLDINGS INC,WAIR,0001378718,5080
US AUTO PARTS NETWORK INC,PRTS,0001378950,5961
DOMTAR CORP,UFS,0001381531,2621
BROADRIDGE FINANCIAL SOLUTNS,BR,0001383312,7373
CONATUS PHARMACEUTICALS INC,CNAT,0001383701,2836
VERACYTE INC,VCYT,0001384101,2835
SMARTHEAT INC,HEAT,0001384135,
RINGCENTRAL INC,RNG,0001384905,7370
TE CONNECTIVITY LTD,TEL,0001385157,3678
CINEMARK HOLDINGS INC,CNK,0001385280,7830
MONOTYPE IMAGING HOLDINGS,TYPE,0001385292,7372
OPIANT PHARMACEUTICALS INC,OPNT,0001385508,2834
AYTU BIOSCIENCE INC,AYTU,0001385818,2836
ENERGY FUELS INC,UUUU,0001385849,1090
COUPA SOFTWARE INC,COUP,0001385867,7370
GREEN DOT CORP,GDOT,0001386278,7389
CHROMADEX CORP,CDXC,0001386570,2833
ALPHA AND OMEGA SEMICONDUCTR,AOSL,0001387467,3674
CAI INTERNATIONAL INC,CAI,0001388430,7359
IRHYTHM TECHNOLOGIES INC,IRTC,0001388658,3845
MARIN SOFTWARE INC,MRIN,0001389002,7370
ARCHROCK INC,AROC,0001389050,3533
TARGA RESOURCES CORP,TRGP,0001389170,4923
NOVABAY PHARMACEUTICALS INC,NBY,0001389545,2834
WABCO HOLDINGS INC,WBC,0001390844,3714
LIMELIGHT NETWORKS INC,LLNW,0001391127,7370
GEVO INC,GEVO,0001392380,2860
PROS HOLDINGS INC,PRO,0001392972,7370
VEEVA SYSTEMS INC,VEEV,0001393052,7370
RESOLUTE FOREST PRODUCTS INC,RFP,0001393066,2621
OCULAR THERAPEUTIX INC,OCUL,0001393434,2836
DHI GROUP INC,DHX,0001393883,7361
DIVERSIFIED RESTAURANT HLDGS,SAUC,0001394156,5812
TRACON PHARMACEUTICALS INC,TCON,0001394319,2836
ADESTO TECHNOLOGIES CORP,IOTS,0001395848,3674
SYNDAX PHARMACEUTICALS INC,SNDX,0001395937,2836
KAR AUCTION SERVICES INC,KAR,0001395942,7389
VULCAN MATERIALS CO,VMC,0001396009,1400
LUMBER LIQUIDATORS HLDGS INC,LL,0001396033,5211
PACIRA BIOSCIENCES INC,PCRX,0001396814,2834
FLEXSHOPPER INC,FPAY,0001397047,7359
LULULEMON ATHLETICA INC,LULU,0001397187,2300
GENPACT LTD,G,0001398659,7374
AQUESTIVE THERAPETC INC,AQST,0001398733,2834
ONE GP HOSPITALITY (THE),STKS,0001399520,5812
DICERNA PHARMACEUTICALS INC,DRNA,0001399529,2836
NATIONAL AMERN UNIV HLDG INC,NAUH,0001399855,8200
FRANCESCAS HOLDINGS CORP,FRAN,0001399935,5621
FORUM ENERGY TECH INC,FET,0001401257,3533
PUMA BIOTECHNOLOGY INC,PBYI,0001401667,2836
CORNERSTONE ONDEMAND INC,CSOD,0001401680,7370
NANOSTRING TECHNOLOGIES INC,NSTG,0001401708,2835
CDW CORP,CDW,0001402057,5045
SS&C TECHNOLOGIES HLDGS INC,SSNC,0001402436,7372
MYOS RENS TECHNOLOGY INC,MYOS,0001402479,2834
ORION GROUP HOLDINGS INC,ORN,0001402829,1600
HERITAGE-CRYSTAL CLEAN INC,HCCI,0001403431,4955
ULTA BEAUTY INC,ULTA,0001403568,5990
ZYMEWORKS INC,ZYME,0001403752,2836
NUVERRA ENVIRONMENTAL SOLUTN,NES,0001403853,1389
NEOLEUKIN THERAPEUTICS INC,NLTX,0001404644,2834
HUBSPOT INC,HUBS,0001404655,7370
APPROACH RESOURCES INC,AREXQ,0001405073,1311
CALIX INC,CALX,0001406666,3661
SYNACOR INC,SYNC,0001408278,7370
TITAN MACHINERY INC,TITN,0001409171,5500
RESTORATION ROBOTIC INC,HAIR,0001409269,
ORION ENERGY SYSTEMS INC,OESX,0001409375,3640
CORMEDIX INC,CRMD,0001410098,2836
RUBICON TECHNOLOGY INC,RBCN,0001410172,3674
Q2 HOLDINGS INC,QTWO,0001410384,7370
AMERICAN WATER WORKS CO INC,AWK,0001410636,4941
IVERIC BIO INC,ISEE,0001410939,2836
ALLISON TRANSMISSION HLDGS,ALSN,0001411207,3714
AMC ENTERTAINMENT HOLDINGS,AMC,0001411579,7830
CONTAINER STORE GROUP,TCS,0001411688,5700
BIONANO GENOMICS INC,BNGO,0001411690,3841
CARE.COM INC,CRCM,0001412270,7370
CHINA JO-JO DRUGSTORES INC,CJJD,0001413263,5912
PHILIP MORRIS INTERNATIONAL,PM,0001413329,2111
A. H. BELO CORP,AHC,0001413898,2711
DEL FRISCOS RESTURNT GRP INC,DFRG,0001415301,5812
ECHOSTAR CORP,SATS,0001415404,3663
TWITTER INC,TWTR,0001418091,7370
AVAYA HLDGS CORP,AVYA,0001418100,7372
KEURIG DR PEPPER INC,KDP,0001418135,2090
IRIDIUM COMMUNICATIONS INC,IRDM,0001418819,4899
TOCAGEN INC,TOCA,0001419041,2836
ATLANTIC POWER CORP,AT,0001419242,4991
FLEXION THERAPEUTICS INC,FLXN,0001419600,2834
SOLAREDGE TECHNOLOGIES INC,SEDG,0001419612,3674
LOGMEIN INC,LOGM,0001420302,7370
ATOMERA INC,ATOM,0001420520,3674
IBIO INC,IBIO,0001420720,2836
COLFAX CORP,CFX,0001420800,3540
VERSO CORP,VRS,0001421182,2621
INTREPID POTASH INC,IPI,0001421461,1400
ENERGY RECOVERY INC,ERII,0001421517,3559
AERPIO PHARMACEUTICALS INC,ARPO,0001422142,2834
AQUAVENTURE HOLDINGS LTD,WAAS,0001422841,4941
SINO-GLOBAL SHIPPING AMERICA,SINO,0001422892,4731
QUANEX BUILDING PRODUCTS,NX,0001423221,3442
ALDER BIOPHARMACEUTICALS INC,ALDR,0001423824,2836
TRAVELPORT WORLDWIDE LTD,TVPT,0001424755,7370
FOX FACTORY HOLDING CP,FOXF,0001424929,3751
WORKHORSE GROUP INC,WKHS,0001425287,3711
ORTHOPEDIATRICS CORP,KIDS,0001425450,3842
REAL GOODS SOLAR INC,RGSEQ,0001425565,3690
ASSEMBLY BIOSCIENCES INC,ASMB,0001426800,2836
ECHO GLOBAL LOGISTICS INC,ECHO,0001426945,4731
OBALON THERAPEUTICS INC,OBLN,0001427570,3841
ACELRX PHARMACEUTICALS INC,ACRX,0001427925,2834
HEALTHEQUITY INC,HQY,0001428336,7370
ROKU INC,ROKU,0001428439,3651
RADIUS HEALTH INC,RDUS,0001428522,2836
SERVICEMASTER GLOBAL HLDGS,SERV,0001428875,7340
FORTRESS BIOTECH INC,FBIO,0001429260,2834
TREVENA INC,TRVN,0001429560,2836
TORCHLIGHT ENERGY RESOURCES,TRCH,0001431959,1311
APPFOLIO INC,APPF,0001433195,7370
INSPIREMD INC,NSPR,0001433607,3845
JOHN BEAN TECHNOLOGIES,JBT,0001433660,3550
CASTLIGHT HEALTH INC,CSLT,0001433714,7370
FATE THERAPEUTICS INC,FATE,0001434316,2836
CLEARSIGN TECHNOLOGIES CORP,CLIR,0001434524,3823
GRAND CANYON EDUCATION INC,LOPE,0001434588,8200
KEMPHARM INC,KMPH,0001434647,2834
GLOBAL WATER RESOURCES INC,GWRS,0001434728,4941
ADURO BIOTECH INC,ADRO,0001435049,2836
CEMTREX INC,CETX,0001435064,8711
MISTRAS GROUP INC,MG,0001436126,8711
ASCENT CAPITAL GROUP INC,ASCMA,0001437106,7380
DISCOVERY INC,DISCA,0001437107,4841
MASTECH DIGITAL INC,MHH,0001437226,7361
NAVIOS MARITIME ACQUISITION,NNA,0001437260,4412
EVERBRIDGE INC,EVBG,0001437352,7370
ARDELYX INC,ARDX,0001437402,2836
LILIS ENERGY INC,LLEX,0001437557,1311
BRIGHT HORIZONS FAMILY SOLTN,BFAM,0001437578,8351
IMMUNE DESIGN CORP,IMDZ,0001437786,2836
TANDEM DIABETES CARE INC,TNDM,0001438133,3845
DIGIMARC CORP,DMRC,0001438231,3679
EVERSPIN TECHNOLOGIES INC,MRAM,0001438423,3674
RETROPHIN INC,RTRX,0001438533,2836
MRC GLOBAL INC,MRC,0001439095,5051
AGIOS PHARMACEUTICALS,AGIO,0001439222,2836
REXNORD CORP,RXN,0001439288,3560
ZYNGA INC,ZNGA,0001439404,7372
ROADRUNNER TRANS SYSTEMS INC,RRTS,0001440024,4731
CLEARWATER PAPER CORP,CLW,0001441236,2670
APPIAN CORP,APPN,0001441683,7370
MONGODB INC,MDB,0001441816,7370
CLOUD PEAK ENERGY INC,CLDPQ,0001441849,1220
RECON TECHNOLOGY LTD,RCON,0001442620,3533
MERSANA THRPEUTIC INC,MRSN,0001442836,2836
BOOZ ALLEN HAMILTON HLDG CP,BAH,0001443646,7370
PROTO LABS INC,PRLB,0001443669,3559
NEVRO CORP,NVRO,0001444380,3845
PROTEOSTASIS THERAPEUTICS,PTI,0001445283,2836
WORKIVA INC,WK,0001445305,7370
PREDICTIVE ONCOLOGY INC,POAI,0001446159,3841
IRONWOOD PHARMACEUTICALS INC,IRWD,0001446847,2834
ARBUTUS BIOPHARMA CORP,ABUS,0001447028,2836
FITBIT INC,FIT,0001447599,3663
TWILIO INC,TWLO,0001447669,7370
NEW RELIC INC,NEWR,0001448056,7370
OPTIMIZERX CORP,OPRX,0001448431,7370
PIONEER POWER SOLUTIONS INC,PPSI,0001449792,3612
TRANSOCEAN LTD,RIG,0001451505,1381
XTANT MEDICAL HOLDINGS INC,XTNT,0001453593,2836
SELECTA BIOSCIENCES INC,SELB,0001453687,2836
MEDIDATA SOLUTIONS INC,MDSO,0001453814,7370
CATABASIS PHARMACEUTICALS,CATB,0001454789,2836
TPI COMPOSITES INC,TPIC,0001455684,3510
NOBLE CORP PLC,NE,0001458891,1381
ALARM.COM HOLDINGS INC,ALRM,0001459200,7370
2U INC,TWOU,0001459417,7370
SI-BONE INC,SIBN,0001459839,3842
FLUENT INC,FLNT,0001460329,8742
ORGENESIS INC,ORGS,0001460602,2836
CRH MEDICAL CORP,CRHM,0001461119,8011
MELINTA THERAPEUTICS INC,MLNTQ,0001461993,2834
ENPHASE ENERGY INC,ENPH,0001463101,3674
ZENDESK INC,ZEN,0001463172,7370
RENEWABLE ENERGY GROUP INC,REGI,0001463258,2990
VUZIX CORP,VUZI,0001463972,3651
B. RILEY FINANCIAL INC,RILY,0001464790,7389
TRANE TECHNOLOGIES PLC,TT,0001466258,3585
CLOVIS ONCOLOGY INC,CLVS,0001466301,2836
OTTER TAIL CORP,OTTR,0001466593,4911
NOVAN INC,NOVN,0001467154,2834
ACCENTURE PLC,ACN,0001467373,8742
NEOS THERAPEUTICS INC,NEOS,0001467652,2834
GENERAL MOTORS CO,GM,0001467858,3711
HYATT HOTELS CORP,H,0001468174,7011
ADDUS HOMECARE CORP,ADUS,0001468328,8082
SECUREWORKS CORP,SCWX,0001468666,7372
SUNRUN INC,RUN,0001469367,3620
MSG NETWORKS INC,MSGN,0001469372,4841
ARCADIA BIOSCIENCES INC,RKDA,0001469443,2836
MOBILEIRON INC,MOBL,0001470099,7370
R1 RCM INC,RCM,0001472595,8741
NOVA LIFESTYLE INC,NVFY,0001473334,2510
PURE STORAGE INC,PSTG,0001474432,3572
TELENAV INC,TNAV,0001474439,4899
GENERAC HOLDINGS INC,GNRC,0001474735,3621
BG STAFFING INC,BGSF,0001474903,7363
EVENTBRITE INC,EB,0001475115,7370
HEAT BIOLOGICS INC,HTBX,0001476963,2836
S&W SEED CO,SANW,0001477246,0100
SENSATA TECHNOLOGES HLDG PLC,ST,0001477294,3823
TELADOC HEALTH INC,TDOC,0001477449,8090
PFENEX INC,PFNX,0001478121,2836
IQVIA HOLDINGS INC,IQV,0001478242,8731
REVANCE THERAPEUTICS INC,RVNC,0001479290,2836
KALA PHARMECUTICAL INC,KALA,0001479419,2836
PERFORMANCE SHIPPPING INC,PSHG,0001481241,4412
RA PHARMACEUTICALS INC,RARX,0001481512,2836
RYERSON HOLDING CORP,RYI,0001481582,5051
QUAD/GRAPHICS INC,QUAD,0001481792,2750
SESEN BIO INC,SESN,0001485003,2836
TOWER INTERNATIONAL INC,TOWR,0001485469,3711
BWX TECHNOLOGIES INC,BWXT,0001486957,3559
KEYW HOLDING CORP,KEYW,0001487101,7370
ASPEN GROUP INC,ASPU,0001487198,8200
GENMARK DIAGNOSTICS INC,GNMK,0001487371,3845
AIR LEASE CORP,AL,0001487712,7359
VISHAY PRECISION GROUP INC,VPG,0001487952,3674
AMERESCO INC,AMRC,0001488139,1600
ELECTROMED INC,ELMD,0001488917,3845
THERMON GROUP HOLDINGS INC,THR,0001489096,3690
SEMGROUP CORP,SEMG,0001489136,5171
LYONDELLBASELL INDUSTRIES NV,LYB,0001489393,2820
GROUPON INC,GRPN,0001490281,7370
LIVEXLIVE MEDIA,LIVX,0001491419,7370
TAKUNG ART CO LTD,TKAT,0001491487,7370
TESARO INC,TSRO,0001491576,2836
HORIZON THERAPEUTICS PUB LTD,HZNP,0001492426,2836
NIELSEN HOLDINGS PLC,NLSN,0001492633,8700
WRIGHT MEDICAL GROUP NV,WMGI,0001492658,3842
T2 BIOSYSTEMS INC,TTOO,0001492674,2835
KNIGHT-SWIFT TRPTN HLDGS INC,KNX,0001492691,4213
OTONOMY INC,OTIC,0001493566,2836
M/ACOM TECHNOLOGY SOLUTIONS,MTSI,0001493594,3674
TURTLE BEACH CORP,HEAR,0001493761,3651
CARGURUS INC,CARG,0001494259,7370
UNIVAR SOLUTIONS INC,UNVR,0001494319,5160
BOSTON OMAHA CORP,BOMN,0001494582,7310
OPTINOSE INC,OPTN,0001494650,2834
SENSUS HEALTHCARE INC,SRTS,0001494891,3845
IZEA WORLDWIDE INC,IZEA,0001495231,7370
VERA BRADLEY INC,VRA,0001495320,3100
CALITHERA BIOSCIENCES INC,CALA,0001496671,2836
ORGANOVO HOLDINGS INC,ONVO,0001497253,2836
PLX PHARMA INC,PLXP,0001497504,2834
AMERICAN RENAL ASSOCS HLDGS,ARA,0001498068,8090
ASCENA RETAIL GROUP INC,ASNA,0001498301,5621
SPIRIT AIRLINES INC,SAVE,0001498710,4512
STAFFING 360 SOLUTIONS INC,STAF,0001499717,7363
TOWNSQUARE MEDIA INC,TSQ,0001499832,4832
NET ELEMENT INC,NETE,0001499961,7374
GOPRO INC,GPRO,0001500435,3861
INVITAE CORP,NVTA,0001501134,8071
HUNTINGTON INGALLS IND INC,HII,0001501585,3730
ARSANIS INC,ASNS,0001501697,
ADVERUM BIOTECHNOLOGIES,ADVM,0001501756,2836
CYTOMX THERAPEUTICS INC,CTMX,0001501989,2836
GNC HOLDINGS INC,GNC,0001502034,5400
QUANTERIX CORP,QTRX,0001503274,3845
