CONM,TIC,CIK
CHEMBIO DIAGNOSTICS INC,CEMI,1092662
NII HOLDINGS INC,NIHD,1037016
VILLAGE BANK AND TRUST FINL,VBFC,1290476
LIGHTBRIDGE CORP,LTBR,1084554
TRINET GROUP INC,TNET,937098
INSEEGO CORP,INSG,1022652
EXACT SCIENCES CORP,EXAS,1124140
MOSYS INC,MOSY,890394
ALIGN TECHNOLOGY INC,ALGN,1097149
GARMIN LTD,GRMN,1121788
SEATTLE GENETICS INC,SGEN,1060736
HARVARD BIOSCIENCE INC,HBIO,1123494
DYNAVAX TECHNOLOGIES CORP,DVAX,1029142
ACADIA PHARMACEUTICALS INC,ACAD,1070494
GLOBAL PAYMENTS INC,GPN,1123360
CENTERSTATE BANK CORP,CSFL,1102266
OIL STATES INTL INC,OIS,1121484
NORTHERN OIL & GAS INC,NOG,1104485
TRANSATLANTIC PETROLEUM LTD,TAT,1092289
PEABODY ENERGY CORP,BTU,1064728
MARINE PRODUCTS CORP,MPX,1129155
MONDELEZ INTERNATIONAL INC,MDLZ,1103982
OMNICELL INC,OMCL,926326
SHORE BANCSHARES INC,SHBI,1035092
PRUDENTIAL FINANCIAL INC,PRU,1137774
WRIGHT MEDICAL GROUP NV,WMGI,1492658
RETRACTABLE TECHNOLOGIES INC,RVP,946563
AXON ENTERPRISE INC,AAXN,1069183
ALLIANCE DATA SYSTEMS CORP,ADS,1101215
WILLIS TOWERS WATSON PLC,WLTW,1140536
MVB FINANCIAL CORP,MVBF,1277902
CROSS COUNTRY HEALTHCARE INC,CCRN,1141103
BUNGE LTD,BG,1144519
NATUS MEDICAL INC,NTUS,878526
PDF SOLUTIONS INC,PDFS,1120914
AMN HEALTHCARE SERVICES INC,AMN,1142750
ZIMMER BIOMET HOLDINGS INC,ZBH,1136869
ASBURY AUTOMOTIVE GROUP INC,ABG,1144980
XPO LOGISTICS INC,XPO,1166003
BIG 5 SPORTING GOODS CORP,BGFV,1156388
ANTHEM INC,ANTM,1156039
DIGIRAD CORP,DRAD,707388
WEIGHT WATCHERS INTL INC,WW,105319
CENTENE CORP,CNC,1071739
PRINCIPAL FINANCIAL GRP INC,PFG,1126328
ADVANCE AUTO PARTS INC,AAP,1158449
MANTECH INTL CORP,MANT,892537
FIVE STAR SENIOR LIVING INC,FVE,1159281
WESTERN NEW ENG BANCORP INC,WNEB,1157647
CORCEPT THERAPEUTICS INC,CORT,1088856
CUTERA INC,CUTR,1162461
HOUSTON AMERN ENERGY CORP,HUSA,1156041
COMSTOCK MINING INC,LODE,1120970
COGENT COMMUNICATIONS HLDGS,CCOI,1158324
JETBLUE AIRWAYS CORP,JBLU,1158463
BCB BANCORP INC,BCBP,1228454
GLOBALSCAPE INC,GSB,1112920
NETFLIX INC,NFLX,1065280
DOVER DOWNS GAMING & ENTMT,DDE,1162556
SEVERN BANCORP INC,SVBI,868271
COMPUTER PROGRAMS & SYSTEMS,CPSI,1169445
OVERSTOCK.COM INC,OSTK,1130713
RIOT BLOCKCHAIN INC,RIOT,1167419
BIODELIVERY SCIENCES INTL,BDSI,1103021
GREAT LAKES DREDGE & DOCK CP,GLDD,1372020
CHINA PHARMA HOLDINGS INC,CPHI,1106644
TRAVELCENTERS OF AMERICA INC,TA,1378453
FORMFACTOR INC,FORM,1039399
INPIXON,INPX,1529113
SAFETY INSURANCE GROUP INC,SAFT,1172052
RED ROBIN GOURMET BURGERS,RRGB,1171759
CBAK ENERGY TECHNOLOGY INC,CBAT,1117171
CME GROUP INC,CME,1156375
WESTWOOD HOLDINGS GROUP INC,WHG,1165002
NEXSTAR MEDIA GROUP,NXST,1142417
WYNN RESORTS LTD,WYNN,1174922
NASDAQ INC,NDAQ,1120193
SITO MOBILE LTD,SITO,1157817
FUTURE FINTECH GROUP INC,FTFT,1066923
BANC OF CALIFORNIA INC,BANC,1169770
CHINA AUTOMOTIVE SYSTEMS INC,CAAS,1157762
TRAVELZOO,TZOO,1133311
CIT GROUP INC,CIT,1171825
HORNBECK OFFSHORE SVCS INC,HOSS,1131227
PROVIDENT FINANCIAL SVCS INC,PFS,1178970
TEXAS CAPITAL BANCSHARES INC,TCBI,1077428
PRA GROUP INC,PRAA,1185348
SAIA INC,SAIA,1177702
NATURAL GAS SERVICES GROUP,NGS,1084991
CATASYS INC,CATS,1136174
BANK FIRST CORP,BFC,1746109
PARKE BANCORP INC,PKBK,1315399
HALOZYME THERAPEUTICS INC,HALO,1159036
PLURISTEM THERAPEUTICS INC,PSTI,1158780
FIRST BANCSHARES INC/MS,FBMS,947559
BOQI INTERNATIONAL MEDCL INC,BIMI,1213660
MOLINA HEALTHCARE INC,MOH,1179929
HUDSON GLOBAL INC,HSON,1210708
AXIS CAPITAL HOLDINGS LTD,AXS,1214816
NETGEAR INC,NTGR,1122904
CRH MEDICAL CORP,CRHM,1461119
AIR TRANSPORT SERVICES GROUP,ATSG,894081
TROVAGENE INC,TROV,1213037
WHITING PETROLEUM CORP,WLL,1255474
LKQ CORP,LKQ,1065696
NELNET INC,NNI,1258602
XPERI CORP,XPER,1690666
MARLIN BUSINESS SERVICES INC,MRLN,1260968
AMERICAN EQTY INVT LIFE HLDG,AEL,1039828
GLOBAL INDEMNITY LTD,GBLI,1494904
ACORDA THERAPEUTICS INC,ACOR,1008848
UNIVERSAL TECHNICAL INST,UTI,1261654
TEMPUR SEALY INTL INC,TPX,1206264
HILLTOP HOLDINGS INC,HTH,1265131
ASSURANT INC,AIZ,1267238
COMPASS MINERALS INTL INC,CMP,1227654
ASPEN INSURANCE HOLDINGS LTD,AHL,1267395
KRONOS WORLDWIDE INC,KRO,1257640
PCB BANCORP,PCB,1423869
MARCHEX INC,MCHX,1224133
GENWORTH FINANCIAL INC,GNW,1276520
CYTOKINETICS INC,CYTK,1061983
BANCORP INC,TBBK,1295401
SP PLUS CORP,SP,1059262
MARKETAXESS HOLDINGS INC,MKTX,1278021
B&G FOODS INC,BGS,1278027
DOMINO'S PIZZA INC,DPZ,1286681
MASTERCARD INC,MA,1141391
MANNKIND CORP,MNKD,899460
W&T OFFSHORE INC,WTI,1288403
MORNINGSTAR INC,MORN,1289419
TEXAS ROADHOUSE INC,TXRH,1289460
BANKWELL FINANCIAL GROUP INC,BWFG,1505732
NEUROMETRIX INC,NURO,1289850
LIBERTY GLOBAL PLC,LBTYK,1570585
MICT INC,MICT,854800
COMMERCIAL VEHICLE GROUP INC,CVGI,1290900
SYNTHESIS ENERGY SYSTEMS INC,SES,1375063
INNOVIVA INC,INVA,1080014
HYSTER-YALE MATERIALS HNDLNG,HY,1173514
WESTLAKE CHEMICAL CORP,WLK,1262823
VIAD CORP,VVI,884219
CYCLACEL PHARMACEUTICALS,CYCC,1130166
MONOLITHIC POWER SYSTEMS INC,MPWR,1280452
BAYCOM CORP,BCML,1730984
TEARLAB CORP,TEAR,1299139
COMSTOCK HOLDING COS INC,CHCI,1299969
MACQUARIE INFRASTRUCTURE CP,MIC,1289790
BLUELINX HOLDINGS INC,BXC,1301787
MANITEX INTERNATIONAL INC,MNTX,1302028
LAS VEGAS SANDS CORP,LVS,1300514
BANKFINANCIAL CORP,BFIN,1303942
HURON CONSULTING GROUP INC,HURN,1289848
CONSOLIDATED COMM HLDGS INC,CNSL,1304421
CRYOPORT INC,CYRX,1124524
DIGITAL ALLY INC,DGLY,1342958
CELANESE CORP,CE,1306830
NEENAH INC,NP,1296435
FIRST INTERNET BANCORP,INBK,1562463
ATLANTIC POWER CORP,AT,1419242
WEX INC,WEX,1309108
GUE LIQ COS INC,FTDCQ,1575360
LHC GROUP INC,LHCG,1303313
EXLSERVICE HOLDINGS INC,EXLS,1297989
AEMETIS INC,AMTX,738214
OTELCO INC,OTEL,1288359
CAROLINA TRUST BANCSHARES,CART,1676667
UNITED FINANCIAL BANCORP INC,UBNK,1501364
LAZARD LTD,LAZ,1311370
AXOS FINANCIAL INC,AX,1299709
SUNESIS PHARMACEUTICALS INC,SNSS,1061027
FREIGHTCAR AMERICA INC,RAIL,1320854
DRYSHIPS INC,DRYS,1308858
CORE MARK HOLDING CO INC,CORE,1318084
DEXCOM INC,DXCM,1093557
MEDICINOVA INC,MNOV,1226616
BUILDERS FIRSTSOURCE,BLDR,1316835
KOPPERS HOLDINGS INC,KOP,1315257
PACIFIC ETHANOL INC,PEIX,778164
INTERCONTINENTAL EXCHANGE,ICE,1571949
OTTAWA BANCORP INC,OTTW,1675192
LINCOLN EDUCATIONAL SERVICES,LINC,1286613
EVERI HOLDINGS INC,EVRI,1318568
EAGLE BULK SHIPPING INC,EGLE,1322439
GTT COMMUNICATIONS INC,GTT,1315255
NET ELEMENT INC,NETE,1499961
ORCHIDS PAPER PRODUCTS,TISUQ,1324189
ATRICURE INC,ATRC,1323885
RUTHS HOSPITALITY GROUP INC,RUTH,1324272
WESTERN ALLIANCE BANCORP,WAL,1212545
JAMES RIVER GROUP HLDGS LTD,JRVR,1620459
GENCO SHIPPING & TRADING,GNK,1326200
CF INDUSTRIES HOLDINGS INC,CF,1324404
CYTOSORBENTS CORP,CTSO,1175151
TREEHOUSE FOODS INC,THS,1320695
OMEGA FLEX INC,OFLX,1317945
CHANTICLEER HOLDINGS INC,BURG,1106838
KONA GRILL INC,KONAQ,1265572
STRATA SKIN SCIENCES INC,SSKN,1051514
DISCOVERY INC,DISCA,1437107
TRONOX HOLDINGS PLC,TROX,1530804
INVESTORS BANCORP INC,ISBC,1594012
WATERSTONE FINANCIAL INC,WSBF,1569994
OP BANCORP,OPBK,1722010
RESTAURANT BRANDS INTL INC,QSR,1618756
SPIRIT AEROSYSTEMS HOLDINGS,SPR,1364885
ACCO BRANDS CORP,ACCO,712034
AMERISAFE INC,AMSF,1018979
GENOMIC HEALTH INC,GHDX,1131324
HOME BANCSHARES INC,HOMB,1331520
BROOKDALE SENIOR LIVING INC,BKD,1332349
CLEAR CHANNEL OUTDOOR HLDGS,CCO,1334978
AMERIPRISE FINANCIAL INC,AMP,820027
CROCS INC,CROX,1334036
SUNPOWER CORP,SPWR,867773
LEIDOS HOLDINGS INC,LDOS,1336920
CORENERGY INFRASTRUCTURE TR,CORR,1347652
ZIOPHARM ONCOLOGY INC,ZIOP,1107421
FIDELITY NATL FINL FNF GROUP,FNF,1331875
FIRST BUSINESS FINL SRV INC,FBIZ,1521951
MAGYAR BANCORP INC,MGYR,1337068
CHAPARRAL ENERGY INC,CHAP,1346980
BIO-PATH HOLDINGS INC,BPTH,1133818
UR ENERGY INC,URG,1375205
LIVE NATION ENTERTAINMENT,LYV,1335258
H&E EQUIPMENT SERVICES INC,HEES,1339605
CHIPOTLE MEXICAN GRILL INC,CMG,1058090
SUNWORKS INC,SUNW,1172631
FIDELITY NATIONAL INFO SVCS,FIS,1136893
AIR INDUSTRIES GROUP INC,AIRI,1009891
LAKE SHORE BANCORP INC,LSBK,1341318
KRATON CORP,KRA,1321646
VANDA PHARMACEUTICALS INC,VNDA,1347178
LEGACY RESERVES INC,LGCYQ,1735828
ALPHATEC HOLDINGS INC,ATEC,1350653
VONAGE HOLDINGS CORP,VG,1272830
DELEK US HOLDINGS INC,DK,1694426
LUNA INNOVATIONS INC,LUNA,1239819
CLEVELAND BIOLABS INC,CBLI,1318641
SYNCHRONOSS TECHNOLOGIES,SNCR,1131554
SEQUENTIAL BRANDS GROUP INC,SQBG,1648428
HOWARD BANCORP INC,HBMD,1390162
GADSEN PROPERTIES INC,GADS,711665
PROOFPOINT INC,PFPT,1212458
GOGO INC,GOGO,1537054
CUSTOMERS BANCORP INC,CUBI,1488813
CANCER GENETICS INC,CGIX,1349929
FACEBOOK INC,FB,1326801
SILVERSUN TECHNOLOGIES INC,SSNT,1236275
TECNOGLASS INC,TGLS,1534675
PHILLIPS 66,PSX,1534701
GLOBUS MEDICAL INC,GMED,1237831
SERVICENOW INC,NOW,1373715
STEMLINE THERAPEUTICS INC,STML,1264587
BLACKROCK TCP CAPITAL,TCPC,1370755
BLOOMIN' BRANDS INC,BLMN,1546417
FORUM ENERGY TECH INC,FET,1401257
CLEARSIGN TECHNOLOGIES CORP,CLIR,1434524
PHIO PHARMACEUTICALS CORP,PHIO,1533040
REALOGY HOLDINGS CORP,RLGY,1398987
PGT INNOVATIONS INC,PGTI,1354327
COMMVAULT SYSTEMS INC,CVLT,1169561
HOUSTON WIRE & CABLE CO,HWCC,1356949
PTC THERAPEUTICS INC,PTCT,1070081
ACHILLION PHARMACEUTICALS,ACHN,1070336
QURATE RETAIL INC,QRTEA,1355096
BATTALION OIL CORP,BATL,1282648
DUNKIN' BRANDS GROUP INC,DNKN,1357204
SELECT MEDICAL HOLDINGS CORP,SEM,1320414
LIMESTONE BANCORP INC,LMST,1358356
KBR INC,KBR,1357615
LEGACY TEX FINANCIAL GRP INC,LTXB,1487052
EHEALTH INC,EHTH,1333493
LEMAITRE VASCULAR INC,LMAT,1158895
INFUSYSTEM HOLDINGS INC,INFU,1337013
COMMUNITY BANKERS TRUST CORP,ESXB,1323648
WINDSTREAM HOLDINGS INC,WINMQ,1282266
INNOPHOS HOLDINGS INC,IPHS,1364099
ICF INTERNATIONAL INC,ICFI,1362004
OSIRIS THERAPEUTICS INC,OSIR,1360886
WYNDHAM DESTINATIONS INC,WYND,1361658
EVERCORE INC,EVR,1360901
ORBCOMM INC,ORBC,1361983
ALLEGIANT TRAVEL CO,ALGT,1362468
AMICUS THERAPEUTICS INC,FOLD,1178879
HILL INTERNATIONAL INC,HIL,1287808
AIRCASTLE LTD,AYR,1362988
WESTERN UNION CO,WU,1365135
CELSIUS HOLDINGS INC,CELH,1341766
DOLPHIN ENTERTAINMENT INC,DLPN,1282224
SHUTTERFLY INC,SFLY,1125920
YIELD10 BIOSCIENCE INC,YTEN,1121702
GOLD RESOURCE CORP,GORO,1160791
GLOBALSTAR INC,GSAT,1366868
INFINITY PHARMACEUTICALS INC,INFI,1113148
SOUTHERN NATIONAL BANCORP VA,SONA,1325670
WILLDAN GROUP INC,WLDN,1370450
COHEN & COMPANY INC,COHN,1270436
PRIMORIS SERVICES CORP,PRIM,1361538
ARMSTRONG WORLD INDUSTRIES,AWI,7431
IPG PHOTONICS CORP,IPGP,1111928
ATHERSYS INC,ATHX,1368148
EMERGENT BIOSOLUTIONS INC,EBS,1367644
NETLIST INC,NLST,1282631
KANDI TECHNOLOGIES GROUP,KNDI,1316517
SENECA BIOPHARMA INC,SNCA,1357459
ALTRA INDUSTRIAL MOTION CORP,AIMC,1374535
CARROLS RESTAURANT GROUP INC,TAST,809248
INFORMATION SERVICES GROUP,III,1371489
CLEAN ENERGY FUELS CORP,CLNE,1368265
PROFIRE ENERGY INC,PFIE,1289636
MSB FINANCIAL CORP,MSBF,1635261
MELLANOX TECHNOLOGIES LTD,MLNX,1356104
REEDS INC,REED,1140215
NATIONAL CINEMEDIA INC,NCMI,1377630
HFF INC,HF,1380509
US AUTO PARTS NETWORK INC,PRTS,1378950
ENSTAR GROUP LTD,ESGR,1363829
HARROW HEALTH INC,HROW,1360214
INTERACTIVE BROKERS GROUP,IBKR,1381197
DOMTAR CORP,UFS,1381531
GLU MOBILE INC,GLUU,1366246
IT TECH PACKAGING INC,ITP,1358190
SANDRIDGE ENERGY INC,SD,1349436
GREENLIGHT CAPITAL RE LTD,GLRE,1385613
SMARTHEAT INC,HEAT,1384135
BLACKSTONE GROUP INC,BX,1393818
MONOTYPE IMAGING HOLDINGS,TYPE,1385292
CINEMARK HOLDINGS INC,CNK,1385280
CAI INTERNATIONAL INC,CAI,1388430
TECHTARGET INC,TTGT,1293282
CELLULAR BIOMEDICINE GROUP,CBMG,1378624
OPIANT PHARMACEUTICALS INC,OPNT,1385508
INSULET CORP,PODD,1145197
NOVABAY PHARMACEUTICALS INC,NBY,1389545
JMP GROUP LLC,JMP,1302350
INFINERA CORP,INFN,1138639
JAZZ PHARMACEUTICALS PLC,JAZZ,1232524
BENEFICIAL BANCORP INC,BNCL,1615418
CHROMADEX CORP,CDXC,1386570
DISCOVER FINANCIAL SVCS,DFS,1393612
AMC ENTERTAINMENT HOLDINGS,AMC,1411579
TIPTREE INC,TIPT,1393726
PROS HOLDINGS INC,PRO,1392972
COMSCORE INC,SCOR,1158172
BLACKROCK CAPITAL INVT CORP,BKCC,1326003
MASIMO CORP,MASI,937556
WABCO HOLDINGS INC,WBC,1390844
DHI GROUP INC,DHX,1393883
ALLISON TRANSMISSION HLDGS,ALSN,1411207
ZAGG INC,ZAGG,1296205
GENPACT LTD,G,1398659
B. RILEY FINANCIAL INC,RILY,1464790
MERCADOLIBRE INC,MELI,1099590
CUMBERLAND PHARMACEUTICALS,CPIX,1087294
NEONODE INC,NEON,87050
MIMEDX GROUP INC,MDXG,1376339
FSB BANCORP INC,FSBC,1667939
VITAMIN SHOPPE INC,VSI,1360530
TERADATA CORP,TDC,816761
CHINA XD PLASTICS CO LTD,CXDC,1353970
MAIDEN HOLDINGS LTD,MHLD,1412100
HOMETOWN BANKSHARES CORP,HMTA,1461640
REMARK HOLDINGS INC,MARK,1368365
MSCI INC,MSCI,1408198
LPL FINANCIAL HOLDINGS INC,LPLA,1397911
FIRST FINANCIAL NORTHWEST,FFNW,1401564
CVR ENERGY INC,CVI,1376139
AAC HOLDINGS INC,AACH,1606180
AMERICAN PUBLIC EDUCATION,APEI,1201792
APPROACH RESOURCES INC,AREXQ,1405073
ENSIGN GROUP INC,ENSG,1125376
LUMBER LIQUIDATORS HLDGS INC,LL,1396033
SCULPTOR CAPITAL MANAGEMENT,SCU,1403256
UNITED INSURANCE HOLDINGS CO,UIHC,1401521
NORTHFIELD BANCORP INC,NFBK,1493225
RESHAPE LIFESCIENCES INC,RSLS,1371217
NUVERRA ENVIRONMENTAL SOLUTN,NES,1403853
RUBICON TECHNOLOGY INC,RBCN,1410172
FLEXSHOPPER INC,FPAY,1397047
ATLANTIC CAP BANCSHARES INC,ACBI,1461755
DEL FRISCOS RESTURNT GRP INC,DFRG,1415301
ORION GROUP HOLDINGS INC,ORN,1402829
ECHOSTAR CORP,SATS,1415404
SOUND FINANCIAL BANCORP INC,SFBC,1541119
BROADWIND ENERGY INC,BWEN,1120370
A. H. BELO CORP,AHC,1413898
MERIDIAN BANCORP INC (MD),EBSB,1600125
REAL GOODS SOLAR INC,RGSEQ,1425565
AMERICAN WATER WORKS CO INC,AWK,1410636
BIOTELEMETRY INC,BEAT,1574774
COLFAX CORP,CFX,1420800
HERITAGE-CRYSTAL CLEAN INC,HCCI,1403431
CELLDEX THERAPEUTICS INC,CLDX,744218
PHILIP MORRIS INTERNATIONAL,PM,1413329
LOGMEIN INC,LOGM,1420302
CHEMOCENTRYX INC,CCXI,1340652
ZOGENIX INC,ZGNX,1375151
INSYS THERAPEUTICS INC,INSYQ,1516479
ENERGY RECOVERY INC,ERII,1421517
KKR & CO INC,KKR,1404912
VERSO CORP,VRS,1421182
CAREDX INC,CDNA,1217234
FLUIDIGM CORP,FLDM,1162194
CODEXIS INC,CDXS,1200375
INTREPID POTASH INC,IPI,1421461
ECHO GLOBAL LOGISTICS INC,ECHO,1426945
HCI GROUP INC,HCI,1400810
MRC GLOBAL INC,MRC,1439095
GRAND CANYON EDUCATION INC,LOPE,1434588
BANCORP OF NEW JERSEY INC,BKJ,1390312
MISTRAS GROUP INC,MG,1436126
HIGHPOWER INTERNATIONAL INC,HPJ,1368308
NAVIOS MARITIME ACQUISITION,NNA,1437260
BLACK KNIGHT INC,BKI,1627014
ALIMERA SCIENCES INC,ALIM,1267602
ACTIVISION BLIZZARD INC,ATVI,718877
LENDINGTREE INC,TREE,1434621
JOHN BEAN TECHNOLOGIES,JBT,1433660
ROADRUNNER TRANS SYSTEMS INC,RRTS,1440024
CLOUD PEAK ENERGY INC,CLDPQ,1441849
VERISK ANALYTICS INC,VRSK,1442145
DIVERSIFIED RESTAURANT HLDGS,SAUC,1394156
ASCENT CAPITAL GROUP INC,ASCMA,1437106
MASTECH DIGITAL INC,MHH,1437226
MYOS RENS TECHNOLOGY INC,MYOS,1402479
ROSETTA STONE INC,RST,1351285
TARONIS TECHNOLOGIES,TRNX,1353487
ALLSCRIPTS HEALTHCARE SOLTNS,MDRX,1124804
GREEN PLAINS INC,GPRE,1309402
DIGIMARC CORP,DMRC,1438231
FS BANCORP INC,FSBW,1530249
CLEARWATER PAPER CORP,CLW,1441236
U S SILICA HOLDINGS INC,SLCA,1524741
ZOVIO INC,ZVO,1305323
MEDIDATA SOLUTIONS INC,MDSO,1453814
RIVERVIEW FINANCIAL CORP,RIVE,1590799
DITECH HOLDING CORP,DHCPQ,1040719
ADAMIS PHARMACEUTICALS CORP,ADMP,887247
ISSUER DIRECT CORP,ISDR,843006
CHINANET ONLINE HOLDINGS,CNET,1376321
TERRITORIAL BANCORP INC,TBNK,1447051
ADDUS HOMECARE CORP,ADUS,1468328
THERAPEUTICSMD INC,TXMD,25743
HYATT HOTELS CORP,H,1468174
FORTINET INC,FTNT,1262039
GENIUS BRANDS INTL INC,GNUS,1355848
GAIN CAPITAL HOLDINGS INC,GCAP,1444363
KAR AUCTION SERVICES INC,KAR,1395942
OMEROS CORP,OMER,1285819
SORRENTO THERAPEUTICS INC,SRNE,850261
IRIDIUM COMMUNICATIONS INC,IRDM,1418819
VERTEX ENERGY INC,VTNR,890447
GENERAC HOLDINGS INC,GNRC,1474735
COWEN INC,COWN,1466538
FLUENT INC,FLNT,1460329
PREDICTIVE ONCOLOGY INC,POAI,1446159
CALIX INC,CALX,1406666
SENSATA TECHNOLOGES HLDG PLC,ST,1477294
CORMEDIX INC,CRMD,1410098
SPS COMMERCE INC,SPSC,1092699
SEMGROUP CORP,SEMG,1489136
AVEO PHARMACEUTICALS INC,AVEO,1325879
KINGOLD JEWELRY INC,KGJI,1089531
VUZIX CORP,VUZI,1463972
PIONEER POWER SOLUTIONS INC,PPSI,1449792
FIRST INTERSTATE BANCSYSTEM,FIBK,860413
APOLLO GLOBAL MGMT INC,APO,1411494
IRONWOOD PHARMACEUTICALS INC,IRWD,1446847
DOUGLAS DYNAMICS INC,PLOW,1287213
GREEN DOT CORP,GDOT,1386278
PRIMO WATER CORP -OLD,PRMW.1,1365101
GENMARK DIAGNOSTICS INC,GNMK,1487371
MAXLINEAR INC,MXL,1288469
ENVESTNET INC,ENV,1337619
NOVA LIFESTYLE INC,NVFY,1473334
FLEETCOR TECHNOLOGIES INC,FLT,1175454
NEOPHOTONICS CORP,NPTN,1227025
AMYRIS INC,AMRS,1365916
QUAD/GRAPHICS INC,QUAD,1481792
TOWER INTERNATIONAL INC,TOWR,1485469
REALPAGE INC,RP,1286225
FIRST AMERICAN FINANCIAL CP,FAF,1472787
WORKHORSE GROUP INC,WKHS,1425287
VOLTARI CORP,VLTC,1568319
TESLA INC,TSLA,1318605
INPHI CORP,IPHI,1160958
KEYW HOLDING CORP,KEYW,1487101
AMERESCO INC,AMRC,1488139
VISHAY PRECISION GROUP INC,VPG,1487952
XTANT MEDICAL HOLDINGS INC,XTNT,1453593
BWX TECHNOLOGIES INC,BWXT,1486957
ASSEMBLY BIOSCIENCES INC,ASMB,1426800
ENSERVCO CORP,ENSV,319458
GLOBAL BRASS & COPPER HLDGS,BRSS,1533526
HORIZON THERAPEUTICS PUB LTD,HZNP,1492426
WALKER & DUNLOP INC,WD,1497770
CLARUS CORP,CLAR,913277
EVERTEC INC,EVTC,1559865
EMERGENT CAPITAL INC,EMGC,1494448
PACIFIC BIOSCIENCES OF CALIF,PACB,1299130
ALLIQUA BIOMEDICAL INC,ALQA,1054274
TARGA RESOURCES CORP,TRGP,1389170
SIGMA LABS INC,SGLB,788611
SPIRIT AIRLINES INC,SAVE,1498710
GNC HOLDINGS INC,GNC,1502034
CORNERSTONE ONDEMAND INC,CSOD,1401680
LEAF GROUP LTD,LEAF,1365038
COSTAMARE INC,CMRE,1503584
HOWARD HUGHES CORP,HHC,1498828
HORIZON TECHNOLOGY FINANCE,HRZN,1487428
BANKUNITED INC,BKU,1504008
PACIRA BIOSCIENCES INC,PCRX,1396814
ACELRX PHARMACEUTICALS INC,ACRX,1427925
RIGNET INC,RNET,1162112
TORCHLIGHT ENERGY RESOURCES,TRCH,1431959
LILIS ENERGY INC,LLEX,1437557
SERVICESOURCE INTL INC,SREV,1310114
SUPERNUS PHARMACEUTICALS INC,SUPN,1356576
PERFORMANCE SHIPPPING INC,PSHG,1481241
ATLAS FINANCIAL HOLDINGS INC,AFH,1539894
KOSMOS ENERGY LTD,KOS,1509991
AIR LEASE CORP,AL,1487712
BOINGO WIRELESS INC,WIFI,1169988
HUNTINGTON INGALLS IND INC,HII,1501585
C&J ENERGY SERVICES INC,CJ,1615817
SEAWORLD ENTERTAINMENT INC,SEAS,1564902
GEVO INC,GEVO,1392380
SUNCOKE ENERGY INC,SXC,1514705
SHARPSPRING INC,SHSP,1506439
INSPIREMD INC,NSPR,1433607
ELLIE MAE INC,ELLI,1122388
MARATHON PETROLEUM CORP,MPC,1510295
SUTTER ROCK CAPITAL CORP,SSSS,1509470
ZILLOW GROUP INC,Z,1617640
PARTY CITY HOLDCO INC,PRTY,1592058
WAGEWORKS INC,WAGE,1158863
HOMESTREET INC,HMST,1518715
POWER SOLUTIONS INTL INC,PSIX,1137091
GLOBAL EAGLE ENTERTAINMENT,ENT,1512077
MIDLAND STATES BANCORP,MSBI,1466026
REGIONAL MANAGEMENT CORP,RM,1519401
IZEA WORLDWIDE INC,IZEA,1495231
GROUPON INC,GRPN,1490281
AMC NETWORKS INC,AMCX,1514991
CARBONITE INC,CARB,1340127
ENPHASE ENERGY INC,ENPH,1463101
ASPEN AEROGELS INC,ASPN,1145986
TRINSEO SA,TSE,1519061
ZYNGA INC,ZNGA,1439404
MERRIMACK PHARMACEUTICALS,MACK,1274792
YOUNGEVITY INTERNATIONAL INC,YGYI,1569329
RENNOVA HEALTH INC,RNVA,931059
RENEWABLE ENERGY GROUP INC,REGI,1463258
PROTO LABS INC,PRLB,1443669
EPAM SYSTEMS INC,EPAM,1352010
BONANZA CREEK ENERGY INC,BCEI,1509589
ENTEGRA FINANCIAL CORP,ENFC,1522327
INTERMOLECULAR INC,IMI,1311241
VOCERA COMMUNICATIONS INC,VCRA,1129260
M/ACOM TECHNOLOGY SOLUTIONS,MTSI,1493594
ERA GROUP INC,ERA,1525221
CHUY'S HOLDINGS INC,CHUY,1524931
FIESTA RESTAURANT GROUP INC,FRGI,1534992
BRIGHTCOVE INC,BCOV,1313275
FORTUNE BRANDS HOME & SECUR,FBHS,1519751
LIQTECH INTERNATIONAL INC,LIQT,1307579
SANCHEZ ENERGY CORP,SNECQ,1528837
XYLEM INC,XYL,1524472
ENOVA INTERNATIONAL INC,ENVA,1529864
MANNING & NAPIER INC,MN,1524223
XCEL BRANDS INC,XELB,1083220
BSB BANCORP INC,BLMT,1522420
AXOGEN INC,AXGN,805928
STAFFING 360 SOLUTIONS INC,STAF,1499717
NATIONAL BANK HLDGS CORP,NBHC,1475841
MARRIOTT VACATIONS WORLDWIDE,VAC,1524358
ACADIA HEALTHCARE CO INC,ACHC,1520697
WELLESLEY BANCORP INC,WEBK,1526952
VERASTEM INC,VSTM,1526119
SG BLOCKS INC,SGBX,1023994
WORLDPAY INC,WP,1533932
CLOVIS ONCOLOGY INC,CLVS,1466301
PBF ENERGY INC,PBF,1534504
YELP INC,YELP,1345016
FORTRESS BIOTECH INC,FBIO,1429260
SYNACOR INC,SYNC,1408278
MELINTA THERAPEUTICS INC,MLNTQ,1461993
ENDURANCE INTL GRP HLDGS INC,EIGI,1237746
TRIPADVISOR INC,TRIP,1526520
MAGNACHIP SEMICONDUCTOR CORP,MX,1325702
XENETIC BIOSCIENCES PLC,XBIO,1534525
LONESTAR RESOURCES US INC,LONE,1661920
ON TRACK INNOVATIONS,OTIVF,1021604
